base                            |Type                            |Oracle                          |MySQL                           |SQL Server                      |Postgres                        |
TIMESTAMP                       |TIMESTAMP(0)                    |                                |                                |                                |TIMESTAMP(0)                    |
TIMESTAMP                       |TIMESTAMP(3)                    |TIMESTAMP(3)                    |                                |                                |TIMESTAMP(3)                    |
TIMESTAMP                       |TIMESTAMP(p)                    |TIMESTAMP(p)                    |TIMESTAMP(p)                    |DATETIME2(p)                    |TIMESTAMP(p)                    |
TIMESTAMP WITH TIME ZONE        |TIMESTAMP(p) WITH TIME ZONE     |TIMESTAMP(p) WITH TIME ZONE     |DATETIME(p)                     |DATETIMEOFFSET(p)               |TIMESTAMP(p) WITH TIME ZONE     |
TIMESTAMPTZ                     |TIMESTAMPTZ(p)                  |TIMESTAMP(p) WITH TIME ZONE     |                                |                                |TIMESTAMPTZ(p)                  |
TIMETZ                          |TIMETZ(p)                       |TIMESTAMP(p) WITH TIME ZONE     |                                |                                |TIMETZ(p)                       |
TINYBLOB                        |TINYBLOB                        |RAW(255)                        |TINYBLOB                        |VARBINARY(255)                  |                                |
TINYINT                         |TINYINT                         |NUMBER(3)                       |TINYINT                         |TINYINT                         |SMALLINT                        |
TINYINT UNSIGNED                |TINYINT UNSIGNED                |                                |TINYINT UNSIGNED                |                                |                                |
TINYTEXT                        |TINYTEXT                        |VARCHAR2(255)                   |TINYTEXT                        |VARCHAR(255)                    |                                |
UNIQUEIDENTIFIER                |UNIQUEIDENTIFIER                |CHAR(36)                        |CHAR(16)                        |UNIQUEIDENTIFIER                |CHAR(16)                        |
UROWID                          |UROWID(n)                       |UROWID(n)                       |VARCHAR(n)                      |VARCHAR(n)                      |VARCHAR(n)                      |
UUID                            |UUID                            |CHAR(36)                        |                                |                                |UUID                            |
VARBINARY                       |VARBINARY(255)                  |                                |                                |VARBINARY(255)                  |                                |
VARBINARY                       |VARBINARY(max)                  |                                |LONGBLOB                        |VARBINARY(max)                  |BYTEA                           |
VARBINARY                       |VARBINARY(n)                    |RAW(n)                          |VARBINARY(n)                    |VARBINARY(n)                    |BYTEA                           |
VARBIT                          |VARBIT(n)                       |RAW(n/8)                        |                                |                                |VARBIT(n)                       |
VARCHAR                         |VARCHAR(255)                    |                                |VARCHAR(255)                    |VARCHAR(255)                    |VARCHAR(255)                    |
VARCHAR                         |VARCHAR(30)                     |                                |VARCHAR(30)                     |VARCHAR(30)                     |                                |
VARCHAR                         |VARCHAR(max)                    |CLOB                            |LONGTEXT                        |VARCHAR(max)                    |TEXT                            |
VARCHAR                         |VARCHAR(n)                      |VARCHAR(n)                      |VARCHAR(n)                      |VARCHAR(n)                      |VARCHAR(n)                      |
VARCHAR2                        |VARCHAR2(255)                   |VARCHAR2(255)                   |                                |                                |                                |
VARCHAR2                        |VARCHAR2(n)                     |VARCHAR2(n)                     |VARCHAR(n)                      |VARCHAR(n)                      |VARCHAR(n)                      |
XML                             |XML                             |XMLTYPE                         |LONGTEXT                        |XML                             |XML                             |
XMLTYPE                         |XMLTYPE                         |XMLTYPE                         |LONGTEXT                        |XML                             |XML                             |
YEAR                            |YEAR(2)                         |NUMBER(4)                       |YEAR(2)                         |NUMBER(4)                       |                                |
YEAR                            |YEAR(4)                         |NUMBER(4)                       |YEAR(4)                         |NUMBER(4)                       |                                |
